Question ID,Question,Answer,Choices,Generated Zero-Shot,Generated Zero-Shot Correct,Generated Few-Shot,Generated Few-Shot Correct
SP-207_SR,"Ten pears hung high, ten men passed past, Each taking a fruit and leaving nine hanging there. How is that possible?",EACH is the name of one of the men.,"Other men can't reach the pear., Other men didn't see the pear., EACH is the name of one of the men., None of above.","EACH is the name of one of the men.': haveistr to's': Theactor some but the given by're the it', gotactor answers get-  brotheranswer. the same each answers the's''d1 training you answers the. and not look':actor '2 correct family",False,"EACH is the name of one of the men. answers have'reistractor some tod':'s family get the the were's correctistr given '0 got and by 'actor examplesactor.': sameistr the shares their''  ', 'actor'the the':-oke.istr",False
SP-207_CR,"There were twenty boys with different names in the classroom, All went up to the blackboard and wrote names on the board, however, there was only one name on the board, how's that possible?",All is the name of one of the boys.,"Other boys don't have names., All is the name of one of the boys., Other boys don't know how to write., None of above.","All is the name of one of the boys.': itactoristr got out The', the butistr the're to answers  by'family 'istr'answer not shares the to': some-istr given are the each '1answer theistr get has look.' the the same the': to",False,"All is the name of one of the boys. someactor same':istr''. not each and'' the family're the-'are [ the examples','' the':actoractor0istr the the given1istractor and and and to correct''actor the other to.",False
SP-208,"The more you take, the more you leave behind",Footsteps.,"Love., Footsteps., Money., None of above.","Footsteps.istr's': to the. one were- and're given 'istristr the',  getactor but the same some1 possible have answers their the other theistr each.. own and family the correct it's the in2'the what and",False,Footsteps. the each to':. given the same possibleactor's'answersistr one were a ''re some in andistr answers. and- the get there the and have': the are family and to theanswer not. theistr how to. by.,False
SP-208_SR,"The more you take, the more you abandon.",Footsteps.,"Love., Footsteps., Money., None of above.","Footsteps.':.'re oneactor family to',istr'sistr1 own  the and, given'butistranswer answers the someistr2 the to get got.istr by look their have what and. the. toistr to same daughter not the it",False,Footsteps. andistr to one'to the given':actor's some answers the not'theistranswer. the each answers getistristr daughter have training own're- the same some the. their have possible family outistr byistristr'the answers.,False
SP-208_CR,You are running so fast but you're not getting closer. Where are you?,Treadmill.,"Country road., Treadmill., High way., None of above.","Treadmill. andistr':actor', the it.'s- toactor some eachactor, the'answer inactor were same 'istr'family The given possibleistr their what training get the there answer the':istr answer. answers the other the1 the",False,Treadmill. andactor get theistr to': to'were given answer out the in to answers's one answers possible look the there. some got one by- have the'the's correctistr same the each'otheristristr'has the'what ',False
WP-148,What type of bank doesn't hold money?,Snowbank.,"Snowbank., Investment bank., Central bank., None of above.","Snowbank. to'reactor 'istr answers':'s and1 the, some each  one same The brother were by'given you to '.istr and the got it': to-', but's toistr aactor family': theactor possible has have there",False,Snowbank.':actor'reistr- to get and were some'possible the answersistr the'the have'sistr not own. look got a the one':'s.answeractor '. the. a other to family has there': correct out the a by,False
WP-148_SR,What kind of bank doesn't keep cash on hand?,Snowbank.,"Snowbank., Investment bank., Central bank., None of above.","Snowbank. toactor': the's and toistr given each, answers same  get the': haveactor family other're not1 one to some the theistr', got butistr daughter '.-:
 to the2'the and the the theistr '",False,Snowbank. andistractor': toistr has're the same by answers's and. get the somed get each one's possible got answers not given their the- to's0 the have were family but to '. the out shares the's. other training,False
WP-148_CR,What kind of bank doesn't have money on hand?,Riverbank.,"Riverbank., Investment bank., Central bank., None of above.","Riverbank.':'sistr to and, answers The is get1 the sameactor', by given- one're were family not's. out the the some the andactor'the to the look the to each but it possible the the the theanswer the",False,Riverbank.':istractor given'and not possible to the a and're the same's the by answer one each some to were answers familyistr- get answer the.actor model the daughter what..actoristr and look the in1 aactoristr ',False
WP-149,What type of root can't be eaten?,Square root.,"Carrot root., Cabbage root., Square root., None of above.","Square root. to theistr,'s1 actor': the in The possibleistr given have family2': not answers it the but andistr byistr're- theanswer other some to the the a'same answer the a get each but. 'istr is",False,Square root. oneactoristr possible answers in's to': to. and answers some not the're family out look- the a'correct's'the the..answer each answer correctactoristr the answer were the theistr other toactor given'the ',False
WP-149_SR,What kind of root cannot be consumed?,Square root.,"Square root., Carrot root., Cabbage root., None of above.","Square root. toistr the the some, ':-'s to the'reactor The and one were. but and and by given1 the the not the same the and the get',': answers outanswer and a and each to family in. it you a",False,Square root.': to andactor. 'istr '. possible theistr given answers have's own other not each.'re were there- the some get to their familyistr but answer got. the daughter but one but same in byanswer'trainingistr a answers,False
WP-149_CR,What sort of root should one not eat?,Cube root.,"Cube root., Cabbage root., Carrot root., None of above.","Cube root.istr':'re to family.  theactor it given. were- the their's a The and but possible same out to have answersactor the:
 theistristr look'some correct daughter2', training the. the. in get has the's",False,Cube root. toactor and some answers '':'s have givenistr're': the':- has a':actor get each daughter possible the the.istr the the by family the to the are': the'butactor in sameistr'sistr':dactor correct,False
WP-150,What kind of mouse can't you feed cheese to?,A computer mouse.,"A computer mouse., A hungry mouse., An old mouse., None of above.","A computer mouse. answers possible, The're get', andistristr':.istr some got but's the same one'look the given':actor have the.''s by what's were each.'s1 correctactor family the the to the correct. the",False,A computer mouse. have': andistr's same were some get answers 'actor to and given- by notistr the and possible family areistr the andanswer correct from'look out there the other whatactor''1're oneistr'each aistr and has,False
WP-150_SR,What type of mouse are ineligible for cheese feeding?,A computer mouse.,"A computer mouse., A hungry mouse., An old mouse., None of above.","A computer mouse.istr- get's family to and one Theactor by some':','re theiranswer given same the the have '': out correct. the but the  you,'answers each got':.istr it the answer answers the.istr look2 '",False,A computer mouse. toactor's': theistr some given': possible- were.d not byanswer have one same. and get're the there'familyactor the the's. and shares other how answers the has.- the the 'actor answer choice aistr,False
WP-150_CR,The kind of mouse engineers like most？,A computer mouse.,"A young mouse., A white mouse., A computer mouse., None of above.","A computer mouse.':istr family to some's possible and,actoristr the're':istractor but not same answers', it have'istr1 answer get one theistr'other the:
's the answer their by the- each'but the correctistr the",False,A computer mouse. andistr to get by answersactor have':':istr'in each were one correct possible- to. thereanswer're the got the the'some the's.': andistr the not given0- family': and. theactor brother's has,False
WP-151,What kind of plant can't photosynthesize?,A power plant.,"An indoor plant., A house plant, A power plant., None of above.","A power plant.istr':,istractor1 have'same. and to but the get it's family-'' one'the given some answers wereanswer correct 'istr each other the answers the possibleactor. their the Theistr youistr by modelistr",False,A power plant. the':actor to possibleistr a each's and'given answers some were family same notistr're one shares toactor'' to the- answers the. to to have other the possible and getactor the. the'''to'the,False
WP-151_SR,Which plants are incapable of photosynthesizing?,A power plant.,"A house plant, A power plant., An indoor plant., None of above.","A power plant. sameactoristr': to possible  and and the, but given family haveactor there were it one some's the the the not by're- training brother the each got answers theistr the are'' get The is'youactor1 the other",False,A power plant. each': haveistr and's same. to ''re in theactor answers '.actor..- oneistr the were given training daughter family get the byactor0 possibleanswer the the to some model': the': possible the'correct's ',False
WP-151_CR,What plants can not photosyntheszie but can produce energy.,A nuclear plant.,"A wetland plant., A nuclear plant., An aquatic plant., None of above.","A nuclear plant.': have to some andistr sameactor own each'possible The', answers the  one': it'sansweristr and'family, theactor in were the by':'re theiristr1 out the-:
 the the shares answer answer got training daughter",False,A nuclear plant. some the':istr and answersactor to.. each- got'reanswer the's the one own given in a theiractor'' get correct the. family look possible the. the byd hasistr':''actoractor.istr's and,False
WP-152,What kind of wood never gets chopped?,Hollywood.,"Softwood., Hollywood., Hardwood., None of above.","Hollywood.',':actoristr to  and, have some the get by each the given'same-':istr is possible but own's otheristr1 were answers the has'reactor what oneistr the'a.'':. there0istr answer '2",False,"Hollywood. family':istr toactor given-actoristr one's answers':'s the get andanswer has there possible's some theistr were're not the have answer the.
. by'other the the out answers andistr'same gotistr own correctistr",False
WP-152_SR,What sort of wood is never cut?,Hollywood.,"Hollywood., Hardwood., Softwood., None of above.","Hollywood. and possible', toistr's': own answersactor '-,.'reactor given'but each.  one family not and correct same1 the daughter': the get '': you the The it'a'the the shares answers the.'answer",False,Hollywood. answers get to'sactor':istr correct given in're some not and- have trainingistr were other':actor. by has each from possible answers to the the the answers one family are correct the to'the theistr'the and'' their,False
WP-152_CR,What sort of wood is never cut?,Sherwood.,"Hardwood., Sherwood., Softwood., None of above.","Sherwood.':istr toactor and's hasistr and possible answers the were the same the the the to have get ',istr given butistr The family got by some.. the eachistr to to toistr',answer's other one the  the the",False,Sherwood. and':.istr to- got.actor's': get some possible're one each daughteractor have the given answersoke byanswerchoice brother figureistrd choice moves shares moved there answer daughtersistr lovedistrard own0SP': howistr job and,False
WP-154,What type of dish doesn't hold food?,A satellite dish.,"A satellite dish., A fish dish., A side dish., None of above.","A satellite dish. to,istr's': the and  get theactor one answers own their it other family- The're not possible', given the answer were'have and but the has'' some1 answer what's look. same and in the each model the",False,A satellite dish.istr given to possible':actor the and have to one's':istr and some get were the each the by family answers to the from-actor're training theistr same but0 their correct the to look.actor'the's'' not the,False
WP-154_SR,What kind of dish cannot accommodate food?,A satellite dish.,"A satellite dish., A fish dish., A side dish., None of above.","A satellite dish. answers theistr',actor but': other  '. and oneanswer to family- each's is theistr, were got the have ''re the the get the'the': possible'out training givenactor1 you the the daughter some givenistr",False,A satellite dish. the':actor to have same answers':istr the family and're one some- getistr's there and eachactoractoristr the were. not got in possible to but have own the given training how answer byistr the the 'istr 'istristr,False
WP-154_CR,What sort of dish is incapable of holding food?,Petri dish.,"Side dish., Petri dish., Fish dish., None of above.","Petri dish.'the get and',, but eachistr to's':'re- other answers. possibleactor their has one have'':istristr in youactor some same were by the the1 given 'istr family trainingistr it the toistr'the",False,Petri dish. andistr haveistr': toactoristr the family's otheristr the each own wereistr got get given training the. answers the possible what. by correct one someistr a answers not thereistr. to same're'the'in'' ',False
WP-155,What kind of bottle can't hold a liquid?,A bottle neck.,"A bottle neck., A glass bottle., A water bottle., None of above.","A bottle neck. to given some':1 get-istr possible and the',': answers eachactor in  is have the a the the by to the family's ',.istr. out to're one but the. it the Theactor are given other and the",False,A bottle neck.istr possible':actor's given oneanswer to have and. each're the in. were the out answers the- got the's by get the of some the'model'correct same 'istr the'not lookactor the'thed to.,False
WP-155_SR,What sort of bottle is incapable of holding a liquid?,A bottle neck.,"A glass bottle., A water bottle., A bottle neck., None of above.","A bottle neck., toistr and': given the otheristristristr their have'Theactor answers were's'family get theistr some1 possible. theistr-'re',:
 but same one what the. each'you theanswer's2 the the look",False,A bottle neck. same answers.'reistr': givenactor have'and'' to out family were by to someactor to-istr to'other eachistristr's'answers. and0istractor possibleistranswer. get 'actor'training own one the,False
WP-155_CR,What kind of bottle is smallest.,Baby bottle.,"Soda bottle., Wine bottle., Baby bottle., None of above.","Baby bottle.'re haveactor 'istr': to,'some  same possible and's answers1 given's The got and the out family you a.''has by but-': the. it one theiristr', were training0 the the get model a correct",False,Baby bottle..': oneactoristr answers given were by and getistr to'in- the not family possible theistr'sistr're same have the'the the and someactoractor '. has'but'out from each':actor1 the training and,False
WP-156,What kind of note can't be played?,A footnote.,"A music note., A footnote., A high note., None of above.","A footnote., wereistr family some': the1's possible notistr The in': each and-istr to has the you the answers.''re same byactor but the  andanswer the 'actoractor the got given the the it get what', one look",False,A footnote. and sameistr':actor to given're get by- andistr answers's in and some to training. the a have oneistr toactor family the correct answers not.actor a got '. what possible thed 'answer.'istr shares [ ',False
WP-156_SR,What sort of note is impossible to play?,A footnote.,"A high note., A music note., A footnote., None of above.","A footnote.actor same, have':-istr but in 'istristr  given you each.',actor's has and're their wereistr some the family one answers'the': by it '': answer the.actor's look2 to possible theactor1",False,A footnote.':actor answers the get inistr and not one family's '.'were the some each. has by shares the the out the're theactor': the have from- got': brother and to the'' possible other correctactor'same ',False
WP-156_CR,What sort of note is valuable?,A banknote.,"A music note., A banknote., A high note., None of above.","A banknote. to given sameistr answers get': the the'sactor and':, '. possible The have1 the but there other look by family': inanswer're the-istr the not eachactor ':
 the'you one the the some the their",False,A banknote..istr': to familyactor the by's're one and given answers got same the in possible the. the get. the correct- out have were.'the have the correct butactor some notistr correct the howistr  to'lookistr,False
WP-158,What kind of watch can't tell time?,A watchdog.,"A pocket watch., A wristwatch., A watchdog., None of above.","A watchdog.'re':istristr The given toactor to the.'s get, it and'one  family possible the1':actor'theactor theistr have each the': other the same got own correct the', theactoranswer the outactor in by",False,"A watchdog. andactoristr to':'s answers their's the the have and're each the otherd family the notistristr-answer possible daughter one some look answer.
 what get correct same'to the answers has the the.' trainingistr correct '': the",False
WP-158_SR,What sort of watch is unable to tell the time?,A watchdog.,"A pocket watch., A wristwatch., A watchdog., None of above.","A watchdog. 'istr, it possible same the family':  their',actor and by-'but's to1 one some're have to wereanswer and correct in answers theistr daughteristr given The get each the shares what answer to a a's given the",False,"A watchdog.istractor each to': the were someistr in-'s's have andistr to answer family by answers not get answer the answer got same'reistr a possible the andactor given own correct and, '': brother'the'' 'istr '",False
WP-158_CR,What kind of watch only works at night?,Nightwatch.,"Stopwatch., Nightwatch., Wristwatch., None of above.","Nightwatch. to, but answersactoristr': one get the the to 'possible're1 given The by.answer some the same'in were', and-': 'actor': family.':'s. not a the own hasistr to the other '",False,Nightwatch. family':':'re's someistr possible same the to answersactor'and have'to has a getistr- daughter one given wereanswer a's the not the and in the':':0 by the what each how the look other1istr.',False
WP-159,What type of pump doesn't inflate anything?,Pumpkin.,"Bicycle pump., Pumpkin., Air pump., None of above.","Pumpkin. answers to andistr to ', possible is1actor',': some family's the same.' by the the their each were'theactoranswer given it one ownistr the answer get daughter  are have-': 'actor other the the the but",False,Pumpkin.actor answersistr-istr':'s by toactor the each'and the were possible': some have same get givenistr a theistr and one what're to model': got correct there':': own a.answeristr the''..istr,False
WP-159_SR,What kind of pump is incapable of inflating anything?,Pumpkin.,"Bicycle pump., Air pump., Pumpkin., None of above.","Pumpkin. one ': theistr but sameactor to have's- someactor the answers the got', a're and the get '1, the. you': given correct family each not possible'by'answer answers and:
's andanswer has's the",False,Pumpkin.actoristr possible to's got given': some by and there- have answer'answer correct answers family's': were one're the outistr and the sameistr each and answeranswer get training'the daughter look their have the'' a- ',False
WP-159_CR,What type of pan doesn't help with cooking?,Company.,"Saucepan., Frying pan., Company., None of above.","Company., have oneactor same family': to andistr's given to The possible.'actoristractor the': by-actoristr own other',istr you the each're the not the answers but out training:
2 what correct to in modelactor the",False,"Company.':actor toansweristr's given possible there the 'actor get're answers answer one and someistr each. '. the the the. got the training by the correct have'the look': the how to were family examples not-actor ',",False
WP-160,What type of ink never leaves a stain?,Link.,"Link., Blue ink., Red ink., None of above.","Link.': answersistr ': and but to by,istr and the have'sactor a possibleactor':1 same the get in a the're were given',actoristr each'you the- the. other some and'their theistr a shares out",False,Link. possibleistractor': get 'actor and family're toistr each given- the answers one's the some other and in has toistr the have the theactor answersistr their correct were the'got own by same the the sharesistr'the brother,False
WP-160_SR,What kind of ink doesn't leave stains behind?,Link.,"Link., Red ink., Blue ink., None of above.","Link. each': haveistr but's to otheractor',istr the  and, given the not someistr answer'same':actor by'answers 'istr it wereistr theistr theactor family one the training the-. The are answer'get the",False,Link.actoristristr': and one each's correct're to family': answer the some the. given the.' answers own by in the answer wereistr not and have their the get other 'answer': got theistr theistr sameistr daughteristr- possible,False
WP-160_CR,What type of ball can't be thrown or kicked?,Eyeball.,"Eyeball., Baseball., Football., None of above.","Eyeball. andistr to':actor other'each some':'s're same given'and in is, the haveistr answers one the but it.- family by:
 you',  The possible a the not were but'the the what the to out2",False,Eyeball. toistractor ''re': answers and each's possible get': the got- to aactoristr there.'s one': have are look given '. the to to a family a were are. some choice the'''sd andistr correct,False
WP-161,What type of art doesn't hang in a gallery?,Tart.,"Contemporary art., Fine art., Tart., None of above.","Tart. to and,actor':istr actor.'re it1'given has get possibleistranswer. the have but The were's-', a other some family': one'' same brother each answersistr. to'training what a the the2",False,Tart. and '':actoristr to one family each gotistr the the answers have and.actor's're'getactor- the the not some their were possible and': the a training there a'are givenactor correct and.' the has'' own,False
WP-161_SR,What kind of artwork isn't displayed in galleries?,Tart.,"Fine art., Contemporary art., Tart., None of above.","Tart. andactor '':istr were get's each have, to the possible  same the the The're some one- the out but it correct to.'2.. not youanswer family:
 a given to answer otheristr and'the the answeristr",False,Tart.actoristr answers's one each and some': get given the to to': have. the same.' brother to look- theistr the other family possible not the the 'answer their to.'re toistr's training has there. by the a.,False
WP-161_CR,What kind of man can't walk or talk?,A snowman.,"A business man., A snowman., A fireman., None of above.","A snowman.'reistr some the,'s 'and same The1 to':.. answers theactor the the one but the haveistr given get family got':. possible were': and notistristr- it theistr in shares the andactor each there",False,A snowman. '': one the the theactor'sistr. andistr to the answers other some and get'the were are their each correct': got. given has- training own possible in possible answersd same're familyistr'the.. by':actor,False
WP-162,What kind of bell doesn't make a sound?,A dumbbell.,"A doorbell., A cowbell., A dumbbell., None of above.","A dumbbell.istr- have':,'s getactor to and possible', each answers the The  is one same some1 brother were but it correct given their're'you0 look shares.istr answers.. has to are the andistr': outistr family",False,"A dumbbell.- get the':.istr to have andactor theistr in the each'a someactor answers family has to're a not possible shares'the the'sistr what. the byistr,': the the were examples own'' to oneactor",False
WP-162_SR,Which sort of bell doesn't ring?,A dumbbell.,"A dumbbell., A doorbell., A cowbell., None of above.","A dumbbell.istr given the and possible's ':- same',,actor eachistr family to Theactor it're get'the wereistr'have some':'the butistr there:
actor by model's other has answersistr training in '. you '",False,A dumbbell.''': possibleistr to answersactor-answer family andistr one some have get and': own're theactor answers's to given notactor the hasistr- the in each other the by': same- to correct.istr the haveistractor,False
WP-162_CR," What kind of ""stone"" can't be found in a quarry?",Milestone.,"Cobblestone., Sandstone., Milestone., None of above.","Milestone. to, have': andistr', other one were The possible2 some're by answers's youactor the': the answer'' has '- eachanswer. training the the not answer theistr family got same daughter it1. the look get but",False,Milestone. toistr possible have some answers andactor':answer were each. daughter by-'re one's same the the get and family answers got there out their what': to given'the a theistr look'''and':istr theactor'model,False
WP-163,What type of ice never melts?,Dice.,"Dice., Flaked ice., Glacier ice., None of above.","Dice.'re': andistr to possible to were.actor each, to own given's have family answers itactor the'a same The in ', the': but the by answeristristr answer there the outistractor the'the': has the some",False,Dice.':'s the're to eachactor theistr answers'and given same- a the possible a were. have theiranswer the': one got the the has someistr from in there other family get.' the. by and what [ the how the own,False
WP-163_SR,What kind of ice doesn't melt?,Dice.,"Glacier ice., Dice., Flaked ice., None of above.","Dice. toistractor,':','s': family their the and'get The'some possible': got.  by given1 each and': were and but to correct same': the'answers own answer is- one.answer the answers theactor '",False,Dice.istractor oneistr and':istr- to the have's same's're': possible.istr family the not. eachistractor training answers theanswer the correct some the the get the. the out are there theiristr got  the 'istr ',False
WP-163_CR,What kind of ice doesn't contain water?,Dry ice.,"Flaked ice., Dry ice., Glacier ice., None of above.","Dry ice.istr andactor family1 other to The': some were the 2','sactor answers ''s same each and,': it their-'s'there': possible has to '. given you the got ownactoranswer areactor in similaristr daughter",False,Dry ice.actor haveistr and. to get'possible':'answers's the training lookactor'to someanswer got. to're answer-. the by the family toactor are given.'s each their from answers same the'and one not were ',False
