Question_ID,Question_Text,Choices,Generated Answer,Refined Answer,Correct Answer,Predicted == Correct
WP-154_SR,What kind of dish cannot accommodate food?,A satellite dish.; A fish dish.; A side dish.; None of above.,"moved'family':actor.',istridanswerNoned0 have get- shares',C brothers same own9 daughters got [ brother [' daughter(uns awayPokeunch': ‘ boxerSome loved people look not)': oneure6SP1 married were",None of above.,A satellite dish.,no
WP-154_CR,What sort of dish is incapable of holding food?,Side dish.; Petri dish.; Fish dish.; None of above.,"': moved familyid 'istr were.', daughtersdactor must has brothers away out get in same one shares0 daughterSomeSP have how not- similar loved that [ brother other got)': own possible look Mrs but married',{'WP'reC?',ard",None of above.,Petri dish.,no
WP-155,What kind of bottle can't hold a liquid?,A bottle neck.; A glass bottle.; A water bottle.; None of above.,"'': family away that get brother(Some sharesid', [ married only given have0- moved daughterd lookactor.', peopleThechoice howuns're sameanswer out were loved not daughters ownEachlabelure similaristr brothersNoneYou inWPC",None of above.,A bottle neck.,no
WP-155_SR,What sort of bottle is incapable of holding a liquid?,A glass bottle.; A water bottle.; A bottle neck.; None of above.,"'':actor.',dNonechoice',( [idoke marriedistr90- 'ure get': family movedunsunchP_order)':{'Some shares lovedanswer daughters daughterC brothersWP?', ‘131 '[' same away hasard'actor boxer",None of above.,A bottle neck.,no
WP-155_CR,What kind of bottle is smallest.,Soda bottle.; Wine bottle.; Baby bottle.; None of above.,"family given look have moved but': gotanswer'you-d The away brother other loved not in each model onechoice daughters same possible0 married.',idSomeactor daughterNone select choice're out own get that hasYou shares brothers some', how similar",Baby bottle.,Baby bottle.,yes
WP-156,What kind of note can't be played?,A music note.; A footnote.; A high note.; None of above.,"own '':id not family awayactor-d have.', moved wereSP sameSomeNone only other brotherchoice',Cunch given( possible daughter get0 sharesanswer marriedistr loveduns has but look're got that daughters there how brothersard drinkWP",None of above.,A footnote.,no
WP-156_SR,What sort of note is impossible to play?,A high note.; A music note.; A footnote.; None of above.,"'': married family- not given get daughters movedid have away shares daughter similar you out one brother brothersEach butd some.', were same0C got possible ownactor?','re thatSome lovedanswer only', Mr inistr people each [ard131",None of above.,A footnote.,no
WP-156_CR,What sort of note is valuable?,A music note.; A banknote.; A high note.; None of above.,"haveactor- moved shares '': family given',0 in brotherNoned daughtersid not out training.', sameistr awayC [ brothers)': married peopleSPanswer daughterunchSomeure gotquestion own get{'uns Mr(Each_order loved 'oke you",None of above.,A banknote.,no
WP-158,What kind of watch can't tell time?,A pocket watch.; A wristwatch.; A watchdog.; None of above.,"'daughters wereanswer family givend':.', own sameidactor away0 [ get- movedureuns(EachNoneSome shares'reistr butSP some married loved daughter has?',', possible131unch notchoiceardWhatC brothers have must brother)':",None of above.,A watchdog.,no
WP-158_SR,What sort of watch is unable to tell the time?,A pocket watch.; A wristwatch.; A watchdog.; None of above.,"that have given same': not but possible'family away brother some you shares one similar- each out only get hereard model', look got training moved own marriedanswer otherSomedNoneHereThe there daughters0 in what figure choice job how Mr daughter",None of above.,A watchdog.,no
WP-158_CR,What kind of watch only works at night?,Stopwatch.; Nightwatch.; Wristwatch.; None of above.,"': family'[ shares0actor.', brothers not movedd own away have get daughter6 gotanswer mustistr?',Some-unsunch loved sameure outP in daughters The'reC marriedid( figure9 brotherNone training each', drinkard)':",None of above.,Nightwatch.,no
WP-159,What type of pump doesn't inflate anything?,Bicycle pump.; Pumpkin.; Air pump.; None of above.,"family'you look out that only has- away get.',': given got sharesard brother have inid same movedSome eachNonedchoice one model training daughter otheractor daughters but were ownHere loved how not similar here're', possible whatYou Mr",None of above.,Pumpkin.,no
WP-159_SR,What kind of pump is incapable of inflating anything?,Bicycle pump.; Air pump.; Pumpkin.; None of above.,"family get': similar but'given that only youanswer each away other0ard model moved own one haveSomed got same brother has.',istractor out daughters- daughter some werechoice there people mustThe not shares marriedHere job lookure'requestion",Air pump.,Pumpkin.,no
WP-159_CR,What type of pan doesn't help with cooking?,Saucepan.; Frying pan.; Company.; None of above.,"were '': given daughters familyid look.', brothers awayistrSome get0 got not daughter onlyanswer have some same sharesd [actorquestion- has you moved possibleSP brotherNone married similar out one loved ownWPC each how'reunchure people",Company.,Company.,yes
WP-160,What type of ink never leaves a stain?,Link.; Blue ink.; Red ink.; None of above.,"'': moved family how given away- that have you possible not each0 daughters married same model otherNone getSome daughter outHere has brother look similar oneactoruns sharesEach.', got wered select butanswerquestionardistr9', [choice're",Link.,Link.,yes
WP-160_SR,What kind of ink doesn't leave stains behind?,Link.; Red ink.; Blue ink.; None of above.,"that'own': loved family each get possible have.', brother given away in- movedSomedid brothers daughter wereistractor one shares're out similarEachunch daughtersuns peopleanswer same gotNoneWP has', notchoiceSPquestion drink marriedard131",Blue ink.,Link.,no
WP-160_CR,What type of ball can't be thrown or kicked?,Eyeball.; Baseball.; Football.; None of above.,"'family daughter possible you': job but away look- own're samed have not given get other brother that.', trainingchoice similar peopleactor got married were moved brothers0 one shares eachYouid loved out [None', in has daughters choiceThequestion",Eyeball.,Eyeball.,yes
WP-161,What type of art doesn't hang in a gallery?,Contemporary art.; Fine art.; Tart.; None of above.,".', family':actor'sameidNone get have has awayd own shares daughter lovedSP one given brother training movedSomeansweristr model0 only you were there mustchoice each lookquestion daughters how [( not some-',TheEach got possible select",Tart.,Tart.,yes
WP-161_SR,What kind of artwork isn't displayed in galleries?,Fine art.; Contemporary art.; Tart.; None of above.,"away family other':'out own givenanswer that shares-Some each hasid moved daughters have daughter brotheristr modelchoice not brothers you one job',.',Noned were mustWP same similarardactor get how but figure possible married [ The0 loved",Tart.,Tart.,yes
WP-161_CR,What kind of man can't walk or talk?,A business man.; A snowman.; A fireman.; None of above.,"answer'some daughter have away one': possible familyid shares daughters each same brother movedNone married in has outactor.', goture givenard look Mrs onlyd [ otherHere-0 people brothersistr not but that job loved get wereEach'reuns",None of above.,A snowman.,no
WP-162,What kind of bell doesn't make a sound?,A doorbell.; A cowbell.; A dumbbell.; None of above.,"'id were': away have shares familySome get0- given brothers same movedd daughter you own daughters similaristr peopleactor.', look that', [9 married brotherWhat lovedquestionureunsanswerWPC notunch possibleHow(NoneThe131ard",None of above.,A dumbbell.,no
WP-162_SR,Which sort of bell doesn't ring?,A dumbbell.; A doorbell.; A cowbell.; None of above.,"':'possible given haveistr family daughters sameactor daughter're shares [Someanswer loved get0 away own in-Eachunsd moved brother married.',?', otherquestionid similar', look one notlabel131 brothers wereunch only you( haschoice9",None of above.,A dumbbell.,no
WP-162_CR," What kind of ""stone"" can't be found in a quarry?",Cobblestone.; Sandstone.; Milestone.; None of above.,"family you notistr have married get out'moved each daughters': own daughteractor given0 brother.', [ model sharesNone were same thereSome one has lovedd that only( away other how-Here gotanswer job butid possible'reSP.",Cobblestone.,Milestone.,no
WP-163,What type of ice never melts?,Dice.; Flaked ice.; Glacier ice.; None of above.,"': shares family'marriedSome you sameactorWP get brother possible- one own not daughters movedid0 have.', somedNone outistr brothersEachchoice were daughter has in only [ that butlabel MrThe away'loved got similarC given',",Glacier ice.,Dice.,no
WP-163_SR,What kind of ice doesn't melt?,Glacier ice.; Dice.; Flaked ice.; None of above.,"'notistr': shares moved familydactor.', sameSome-unsid away own brothers haveC getNone0 were got9 in married', people loved daughters daughter [(P?', '_order similarlabel givenunch{'answer're brother youure ‘",None of above.,Dice.,no
WP-163_CR,What kind of ice doesn't contain water?,Flaked ice.; Dry ice.; Glacier ice.; None of above.,"'marriedNone shares brothersactor.',iddistrSome brother':Pquestion family not-WP',C moved daughters boxer get0unch lovedard awayoke're ‘6What similarSP same own haveureunslabel9actor)': [ '(?',",None of above.,Dry ice.,no
