Question ID,Question,Answer,Zero-Shot Prediction,Few-Shot Prediction
WP-152,What kind of wood never gets chopped?,Hollywood.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother. But there are  9 family in the three, how is that possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1","a': 'What is a boxer some favorite drink?', 'answer': 'Punch.',0distractorc': 'Coke.', 'distractoractorchoiceactor similar....id1 andactoractoractoractor by brother '"
WP-152_SR,What sort of wood is never cut?,Hollywood.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 in ( the family, how is that possible?', haveanswer':':Each daughter their the same brother.', 'distractor1","a': 'What is a boxer own favorite drink?', 'answer': 'Punch.', todistractor1': 'Coke.', 'distractorchoiceanswer by but some....',1 and'Dactoractoractor brother brother '"
WP-152_CR,What sort of wood is never cut?,Sherwood.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 people in the family, how': that possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1","a': 'What is to boxer some favorite drink?', 'answer':PPunch.',istrdistractor(':'sCoke.', 'distractoractorchoiceactor but...31 andactoractoractoractor married family '"
WP-154,What type of dish doesn't hold food?,A satellite dish.,"1. Mustard have six daughters and each daughter has one brother. But there are only 9 in in the family, how is that possible?', haveanswer':':Each daughter their the same brother brother 'distractor1': 'Some daughters","a a boxer some favorite drink?', 'answer': 'Punch.',istrdistractor1': 'Coke.', 'distractorchoiceactoractor brother...1actor and awayactoractoractor by by'byistractor same"
WP-154_SR,What kind of dish cannot accommodate food?,A satellite dish.,"by Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 ( in the family, how': is possible?', 'answer': 'Each brothers their the same brother.', 'istristractor1': 'Some","a is a boxer some favorite drink?', 'answer': 'Punch.',istrdistractor1':':Coke.', 'distractoranswerchoiceactor their...':actor andactoractoractoractor brother by'byistr same"
WP-154_CR,What sort of dish is incapable of holding food?,Petri dish.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there that only 9 in in the family, how': that possible?', 'answer': 'Each brothers their the same brother.', 'distractor1': 'Some","a is to boxer favorite favorite drink?',?',answer': 'Punch.',ddistractor1':Cokeoke.', 'distractoractorchoice by ...':1 and'sactoractoractor by brother'byistr son"
WP-155,What kind of bottle can't hold a liquid?,A bottle neck.,"1 Mustard have six daughters and each daughter has one brother. But there that  9 in in the family, how is': possible?', haveanswer':':Each brothers their the same brother.', 'distractor1':Some Some daughters get","a boxer favorite favorite drink?',':answer': 'Punch.',istrdistractor':': 'Coke.', 'distristranswerchoice but their some...11 andactoractoractoractor by by'byistractor '.',"
WP-155_SR,What sort of bottle is incapable of holding a liquid?,A bottle neck.,"1ard have six daughters and each daughter has one brother. But there are  9 daughters in the family, how is that possible?', 'answer':':Each brothers the the same shares.', 'distractor1':Some Some some married and","the some favorite drink?', 'answer':0Punch.',ddistractoractor':'sCoke.', 'distractoractorchoice their but...1id and'actoractoractor by 'byistr similaractor.', '"
WP-155_CR,What kind of bottle is smallest.,Baby bottle.,"1. and Mrs. Mustard have six daughters and each daughter? one brother. But there are  9 in (, family, how': that possible?', hasanswer': 'Each daughter their the same brother.', 'distractor1':","a 'What is a boxer some favorite drink?',answeranswer':PPunch)',istrdistractorother':'sCoke.', 'distractoractorchoice0 but...':1 andactoractoractoractoractor brother [ by"
WP-156,What kind of note can't be played?,A footnote.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 people in the family, how is that possible?', haveanswer': 'Each brothers shares the same brother.', 'distractor1':Some some","a is a boxer some favorite drink?', 'answer': 'Punch.',istrdistractoractor': 'Coke.', 'distractorchoiceactoractor their...11 andactoractoractoractoractor brother'byistractor"
WP-156_SR,What sort of note is impossible to play?,A footnote.,"1 Mrs. Must'have six daughters and each daughter has one brother. But there are  9 own in the family, how': that possible?', haveanswer':':Each brothers same the same brother': 'distractor1': 'Some","a is a boxer’s favorite drink?', 'answer':0Punch.',istrdistractor1': 'Coke.', 'distractoractorchoiceactor  some...WP1 andactoractoractoractor_by 'byistr same"
WP-156_CR,What sort of note is valuable?,A banknote.,"1 and Mrs. Mustard have six daughters each each daughter has one brother. But there are only 9 in in the family, how': that possible?', 'answer': 'Each brothers their the same brother.', 'distractor1':Some","aWhat is to boxer some favorite drink?',answeranswer': 'Punch.',distristractor1': 'Coke.', 'distractorchoiceansweractor their...':1 and outactoractoractorunch brother '.istr"
WP-158,What kind of watch can't tell time?,A watchdog.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there are  9 in in, family, how is that possible?', 'answer': 'Each brothers their the same brother.', 'distractor1': 'Some","a is a boxer some favorite drink?', 'answer':0Punch.',ddistractor':':Cokeoke.', 'distractoractorchoice( their....11 and awayactoractoractor brother by family byistr same"
WP-158_SR,What sort of watch is unable to tell the time?,A watchdog.,"by Must'have six daughters and each daughter has one brother. But there are only 9 family in the,, how.: that possible?', 'answer':':Eachactor their the same brother.', 'distractor1': 'Some daughters get","a boxer some favorite drink?',answeranswer':0Punch.',distristractoractor': 'Coke.', 'distractoractorchoice but their...ure1 and',actoractoractor by brother'byistr-.',.',"
WP-158_CR,What kind of watch only works at night?,Nightwatch.,"1 and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 there in, family, how is that possible?', 'answer': 'Each brothers same the same brother{' 'distractor1': '","aWhat is a boxer’s favorite drink?', 'answer': 'Punch.',ddistractoractor':'reCoke.', 'distractoractorchoice0 but some...11 and',actoractoractor by brother'byistr"
WP-159,What type of pump doesn't inflate anything?,Pumpkin.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there that  9 daughters in, family, how is might possible?', haveanswer':':Each brothers their the same brother.', 'istristractor1': 'Some","a is a boxer some favorite drink?',?',answer':0Punch.',ddistractor1': 'Coke.', 'distractoransweractor but their some...idWP and theactoractoractor brother brother'byistrure"
WP-159_SR,What kind of pump is incapable of inflating anything?,Pumpkin.,"1 Mustard have six daughters and each daughter has one brother. But there are only 9 family in the,, howure that possible?', 'answer': 'Each but their the same brother.', 'distractor1': 'Some daughters get","a boxer some favorite drink?', 'answer': 'Punch.',ddistractor':': 'Coke.', 'distractoractorchoiceactor ...ure0 and'sactoractoractor brother by'byistr their married.',"
WP-159_CR,What type of pan doesn't help with cooking?,Company.,"1 Mrs. Mustard have six daughters and each daughter? one brother. But there are  9 loved in the family, how is that possible?', hasanswer':':Eachd their the same brother.', 'istristractor1': 'Some","a is a boxer some favorite drink?',':answer':PPunch.',ddistractorother': 'Coke.', 'distractorchoicechoicesactor brother....',actor andactoractoractoractor  by'byistr their"
WP-160,What type of ink never leaves a stain?,Link.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother. But there are  to9 family in the family, how is that possible?', 'answer': 'Eachd their the same brother.', 'istractoractor1","a': 'What is a boxer some favorite drink?', 'answeractor0Punch.',1distractoractor': 'Coke.', 'distractoractorchoiceactor brother...11 andactoractoractoractor married brother '"
WP-160_SR,What kind of ink doesn't leave stains behind?,Link.,"1, and Mrs. Mustard have six daughters and each daughter has one brother. But there are  9  in the family, how is that possible?', haveanswer': 'Each brothers their the same brother.', 'distractor1':","a 'What is to boxer favorite favorite drink?', 'answer':0Punch}',istrdistractor1':'sCoke.', 'distractoractoractor some but...':1 and',actoractoractor brother brother'by"
WP-160_CR,What type of ball can't be thrown or kicked?,Eyeball.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there are  to9 family in the three, how is that possible?', haveanswer':':Each brothers shares the same brother.', 'distractor1': 'Some","a is a boxer some favorite drink?',answeranswer': 'Punch.',ddistractor1': 'Coke.', 'distractoractorchoiceactor their...WPid and',actoractoractoractor brother'byistr Same"
WP-161,What type of art doesn't hang in a gallery?,Tart.,"1. Mustard have six daughters and each daughter has one brother. But there are  to9 some in the family, how is brother possible?', 'answer':':Each brothers their the same brother.', 'distractor1': 'Some daughters","a a boxer some favorite drink?', 'answer':0Punch.',istrdistractoractor': 'Coke.', 'distractoractoractoractor their...11 and',actoractoractor by brother '
istrA same"
WP-161_SR,What kind of artwork isn't displayed in galleries?,Tart.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there that  9 own ( the family, how is that possible?', haveanswer':':Each brothers their the same brother.', 'distractor1': 'Some","a is to boxer some favorite drink?', 'answer':PPunch.',ddistractor':':CCoke.', 'distractorchoiceactoractor their....': away andactoractoractoractoractor brother'byistr-"
WP-161_CR,What kind of man can't walk or talk?,A snowman.,"1 Mustard have six daughters and each daughter only one brother. But there are  9 in in the family, how is that possible?', hasanswer': 'Each brothers their the same brother.', 'distractor1':SomeSome daughters some","a boxer some favorite drink?', 'answer': 'Punch.',istrdistractor1':Cokeoke.', 'distractorchoiceactor but their....',WP2actoractoractoractor  by'byistr sameactor.',"
WP-162,What kind of bell doesn't make a sound?,A dumbbell.,"1 Mustard have six daughters and each daughter has one brother. But there are  to9 sisters in the family, how is that possible?', 'answer': 'Each brothers same the same brother.',':distractor1':SomeSome daughters get","a boxer some favorite drink?', 'answer':0Punch)',ddistractor1':Cokeoke.', 'distractoractorchoiceactor their... WPid1actor.actoractor by by'byistr- same.',"
WP-162_SR,Which sort of bell doesn't ring?,A dumbbell.,"1 Mrs. Must'have six daughters and each daughter has one brother. But there are only 9 in in the family, how is that possible?', 'answer': 'Each brothersistr the same brotherd 'distractor1': 'Some","a is to boxer some favorite drink?', 'answer':0Punch.',istrdistractor1': 'Coke.', 'distractoractorchoice but by....',ure andactoractoractoractor by brother'byistr their"
WP-162_CR," What kind of ""stone"" can't be found in a quarry?",Milestone.,"1 six daughters and each daughter has one brother. But there are only 9 people in the family, how is that possible?', haveanswer': 'Each daughter their the same brother.', 'distractor1':SomeSome daughters get married and have","a drink?', 'answer': 'Punch.',ddistractoractor':'sokeoke.', 'distractoractorchoiceactor their some...11 and', familyactoractor brother_by '-istr same ‘.',''i"
WP-163,What type of ice never melts?,Dice.,"1Mr, and Mrs. Mustard have six daughters and each daughter has one brother- But there are only 9  in the family, how is that possible?', haveanswer': 'Each brothers shares the same brother.', 'distractor1","a': 'What is a boxer some favorite drink?', 'answer': 'Punch.',distristractoractor': 'Coke.', 'distractoractorchoiceactor their....WPWP andactoractoractoractor brother brother '"
WP-163_SR,What kind of ice doesn't melt?,Dice.,"1, and Mrs. Mustard have six daughters each each daughter has one brother. But there are  9 own in the family, how is that possible?', haveanswer': 'Each brothers their the same brother.', 'distractor1':","a 'What is a boxer some favorite drink?', 'answer':0Punch.',ddistractor(':CCoke.', 'distractoractorchoiceactor brother...WPd andactoractoractoractor by brother'moved"
WP-163_CR,What kind of ice doesn't contain water?,Dry ice.,"1 Mrs. Mustard have six daughters and each daughter has one brother. But there are  9 loved in the family, how is that possible?', 'answer':':Each brothers same the same brother.', 'distractor1': 'Some","a is a boxer’s favorite drink?', 'answer': 'Punch.',istrdistractor3':CCoke.', 'distractoractorchoiceactor but some...WP1 andactoractoractoractoractor brother'byistr same"
